ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44850 5 45104 9 45358 13 45613 14 45868 15 46124 15 46380 15 46636 15 46892 14 47149 11 47406 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50025 4 50278 10 50533 12 50788 13 51043 15 51298 16 51553 17 51809 17 52064 18 52320 18 52576 17 52832 17 53089 15 53345 14 53602 12 53859 10 54117 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10892 6 11146 9 11401 11 11655 13 11911 13 12166 14 12421 15 12677 15 12933 14 13188 15 13444 14 13700 13 13957 11 14213 10 14470 8 14728 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31631 8 31884 13 32139 14 32394 16 32649 17 32904 18 33160 18 33415 19 33671 19 33927 18 34183 18 34439 16 34695 15 34952 13 35209 10 35466 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50842 5 51096 7 51350 10 51605 11 51860 12 52115 13 52370 14 52626 14 52881 14 53137 13 53393 12 53648 13 53904 12 54160 10 54417 8 54674 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 5 38819 7 39073 9 39327 12 39582 13 39837 14 40093 14 40349 14 40605 13 40861 13 41118 11 41374 11 41630 10 41887 8 42144 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47749 2 48268 3 48787 3 49306 4 49825 4 50344 5 50863 5 51382 5 51901 5 52420 5 52939 5 53458 4 53977 4 54497 3 55016 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,67991 2 68509 4 69028 6 69547 8 70066 9 70585 9 71104 10 71623 10 72142 11 72661 13 72682 3 73180 26 73699 30 74218 32 74737 33 75256 35 75775 35 76294 35 76813 35 77332 35 77851 35 78370 35 78889 34 79408 34 79928 33 80447 32 80967 31 81486 30 82007 28 82526 28 83046 26 83566 25 84085 24 84605 23 85125 21 85644 20 86164 18 86684 17 87204 16 87723 16 88243 15 88762 16 89281 16 89801 16 90320 16 90840 16 91359 16 91879 15 92398 15 92918 14 93438 14 93958 13 94477 13 94997 12 95517 11 96036 11 96556 11 97075 11 97595 10 98114 10 98633 11 99153 11 99672 12 100191 12 100711 12 101230 13 101750 13 102269 13 102789 12 103309 11 103829 9 104350 7 104870 5 105390 4 105911 2 106431 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117814 2 118333 3 118852 3 119371 4 119890 5 120409 5 120928 6 121447 6 121966 6 122485 7 123004 7 123523 7 124042 7 124561 8 125080 8 125599 8 126118 8 126637 8 127156 8 127675 7 128194 7 128713 6 129232 5 129752 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24938 6 25453 12 25970 16 26487 19 27004 22 27522 23 28040 25 28558 26 29076 27 29594 28 30113 28 30632 28 31150 29 31669 29 32188 28 32707 27 33226 26 33745 25 34265 23 34784 22 35303 20 35823 18 36343 14 36863 11 37383 8 37904 4
